what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324500010819
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324500031719
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.window.preferences",1324500031741
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.window.preferences",1324500031741
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324500034944
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324500035062
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324500312473
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324500318656
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324500321872
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324500321976
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324500334244
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324500347906
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324500347938
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324500347971
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324500347996
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324500348178
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324500428345
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.window.preferences",1324500428358
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1324500435928
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1324500440418
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324500450664
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324500452276
started,bundle,org.eclipse.wst.jsdt.debug.core,1.0.3.v201011040143,"org.eclipse.wst.jsdt.debug.core",1324500452344
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1324500452501
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1324500453085
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.100.v201003112036,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1324500453116
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.6.1.v200904151730,"org.eclipse.jst.server.generic.jboss",1324500453137
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,"org.eclipse.jst.server.generic.jonas",1324500453153
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.206.v20090812,"org.eclipse.jst.server.generic.oc4j",1324500453185
